Employee_ID,Department,Gender,Age,Education_Level,Job_Role,Monthly_Income,Years_At_Company,Years_In_Current_Role,Job_Satisfaction,Performance_Rating,Work_Life_Balance,Training_Hours_Last_Year,Last_Promotion_Years_Ago,Distance_From_Home,Overtime,Attrition,Marital_Status,Number_Of_Companies_Worked,Stock_Option_Level,Employee_ID_Custom,resultado_capacitacion_pci
1001.0,Sales,Female,28.0,Bachelor's Degree,Analyst,3822.0,23.0,0.0,3.0,2.0,1.0,24.0,3.0,29.0,Yes,No,Married,7.0,2.0,1,92
1002.0,Marketing,Female,36.0,Master's Degree,Manager,10125.0,31.0,11.0,1.0,1.0,5.0,61.0,1.0,14.0,No,Yes,Divorced,8.0,0.0,2,83
1003.0,Finance,Non-binary,28.0,PhD,Analyst,3256.0,33.0,12.0,3.0,5.0,1.0,83.0,11.0,2.0,Yes,Yes,Divorced,7.0,3.0,3,93
1004.0,Marketing,Male,18.0,High School,Intern,1279.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,48.0,Yes,No,Single,1.0,0.0,4,95
1005.0,Marketing,Non-binary,55.0,Bachelor's Degree,Team Lead,8221.0,1.0,4.0,1.0,3.0,3.0,1.0,7.0,22.0,Yes,No,Divorced,9.0,3.0,5,86
1006.0,IT,Non-binary,22.0,Associate's Degree,Intern,1012.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,47.0,No,Yes,Single,1.0,0.0,6,96
1007.0,Finance,Female,43.0,Bachelor's Degree,Manager,10853.0,22.0,3.0,5.0,1.0,4.0,98.0,10.0,6.0,No,Yes,Married,5.0,0.0,7,80
1008.0,Finance,Male,20.0,PhD,Intern,1351.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,9.0,Yes,Yes,Single,1.0,0.0,8,96
1009.0,Finance,Prefer not to say,58.0,High School,Team Lead,7147.0,11.0,18.0,5.0,1.0,5.0,16.0,13.0,12.0,No,Yes,Widowed,4.0,1.0,9,88
1010.0,Marketing,Female,22.0,Bachelor's Degree,Analyst,2195.0,16.0,10.0,4.0,4.0,5.0,62.0,9.0,42.0,No,No,Divorced,6.0,0.0,10,94
1011.0,Sales,Prefer not to say,31.0,PhD,Executive,3874.0,17.0,7.0,4.0,3.0,2.0,21.0,5.0,39.0,No,Yes,Divorced,4.0,1.0,11,92
1012.0,Finance,Prefer not to say,59.0,Associate's Degree,Analyst,2201.0,13.0,11.0,2.0,2.0,5.0,0.0,12.0,5.0,Yes,Yes,Widowed,5.0,0.0,12,95
1013.0,Marketing,Male,37.0,Master's Degree,Team Lead,6302.0,16.0,17.0,3.0,3.0,3.0,93.0,3.0,40.0,Yes,Yes,Married,6.0,2.0,13,89
1014.0,IT,Non-binary,29.0,Associate's Degree,Team Lead,8075.0,14.0,17.0,2.0,3.0,1.0,69.0,1.0,44.0,No,Yes,Divorced,1.0,1.0,14,86
1015.0,Sales,Male,46.0,High School,Manager,10376.0,11.0,8.0,1.0,3.0,2.0,53.0,4.0,1.0,No,No,Divorced,6.0,3.0,15,82
1016.0,IT,Prefer not to say,20.0,Associate's Degree,Intern,1025.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,Yes,Yes,Single,1.0,0.0,16,96
1017.0,Sales,Female,24.0,Associate's Degree,Intern,1039.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,11.0,Yes,No,Single,1.0,0.0,17,96
1018.0,Marketing,Prefer not to say,38.0,Associate's Degree,Analyst,4156.0,22.0,12.0,4.0,4.0,1.0,96.0,6.0,27.0,No,Yes,Divorced,7.0,3.0,18,92
1019.0,HR,Female,47.0,Associate's Degree,Executive,2542.0,37.0,5.0,1.0,3.0,3.0,52.0,8.0,23.0,Yes,Yes,Divorced,5.0,1.0,19,94
1020.0,Sales,Female,35.0,High School,Executive,3761.0,33.0,13.0,1.0,5.0,5.0,5.0,2.0,20.0,No,Yes,Single,8.0,2.0,20,92
1021.0,IT,Male,59.0,PhD,Manager,9366.0,33.0,14.0,2.0,4.0,2.0,89.0,5.0,5.0,Yes,No,Divorced,5.0,3.0,21,85
1022.0,Marketing,Prefer not to say,57.0,Bachelor's Degree,Team Lead,6700.0,15.0,13.0,1.0,1.0,4.0,63.0,8.0,13.0,Yes,No,Single,5.0,2.0,22,89
